geo,name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
irq,Iraq,,,,,,,,,,,,,,,,,,,,,0.4,,,0.47
isl,Iceland,,,,,,,,,,5.52,,,,,,,,,,,6.31,,,7.38
isr,Israel,,,,,,,,,,,,,,,,,,,,,2.89,,,2.52
ita,Italy,,,,,,,,,,,,,,,,,,,,,10.68,,,9.72
jam,Jamaica,,,,,,,,,,,,,,,,,,,,,5,,,5.17
jor,Jordan,,,,,,,,,,,,,,,,,,,,,0.71,,,0.65
jpn,Japan,,,,,,,,,,,,,,,,,,,,,8.03,,,7.79
kaz,Kazakhstan,,,,,,,,,,,,,,,,,,,,,10.96,,,11.1
ken,Kenya,,,,,,,,,,,,,,,,,,,,,4.14,,,3.88
kgz,Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,5.09,,,4.72
khm,Cambodia,,,,,,,,,,,,,,,,,,,,,4.77,,,4.71
kir,Kiribati,,,,,,,,,,,,,,,,,,,,,3.71,,,2.7
kna,St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,9.43,,,10.62
kor,South Korea,,,,,,,,,,,,,,,,,,,,,,,,19.15
kwt,Kuwait,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1
lao,Lao,,,,,,,,,,,,,,,,,,,,,6.73,,,6.99
lbn,Lebanon,,,,,,,,,,,,,,,,,,,,,2.23,,,2.3
lbr,Liberia,,,,,,,,,,,,,,,,,,,,,5.06,,,5.07
lby,Libya,,,,,,,,,,,,,,,,,,,,,0.11,,,0.1
lca,St. Lucia,,,,,,,,,,,,,,,,,,,,,11.85,,,12.05
lka,Sri Lanka,,,,,,,,,,,,,,,,,,,,,0.79,,,0.81
lso,Lesotho,,,,,,,,,,,,,,,,,,,,,5.55,,,5.56
ltu,Lithuania,,,,,,,,,,,,,,,,,,,,,15.03,,,16.3
lux,Luxembourg,,,,,,,,,,,,,,,,,,,,,13.01,,,12.84
lva,Latvia,,,,,,,,,,,,,,,,,,,,,12.5,,,13.45
mar,Morocco,,,,,,,,,,,,,,,,,,,,,1.46,,,1.24
mda,Moldova,,,,,,,,,18.1,,,,,,,,,,,,18.22,,,23.01
mdg,Madagascar,,,,,,,,,,,,,,,,,,,,,1.33,,,1.32
mex,Mexico,,,,,,,,,,,,,,,,,,,,,8.42,,,8.55
mkd,North Macedonia,,,,,,,,12.66,,,,,,,,,,,,,8.51,,,8.94
mli,Mali,,,,,,,,,,,,,,,,,,,,,1.04,,,0.99
mlt,Malta,,,,,,,,,,,,,,,,,,,,,4.27,,,4.1
mmr,Myanmar,,,,,,,,,,,,,,,,,,,,,0.57,,,0.58
mng,Mongolia,,,,,,,,,,,,,,,,,,,,,3.24,,,3.41
moz,Mozambique,,,,,,,,,,,,,,,,,,,,,2.38,,,2.27
mrt,Mauritania,,,,,,,,,,,,,,,,,,,,,0.11,,,0.11
mus,Mauritius,,,,,,,,,,,,,,,,,,,,,3.72,,,3.53
mwi,Malawi,,,,,,,,,,,,,,,,,,,,,1.74,,,1.44
mys,Malaysia,,,,,,,,,,,,,,,,,,,,,0.82,,,0.87
nam,Namibia,,,,,,,,,,,,,,,,,,,,,9.62,,,12.09
ner,Niger,,,,,,,,,,,,,,,,,,,,,0.34,,,0.34
nga,Nigeria,,,,,,,,,,,,,,,,,,,,,12.28,,,12.72
nic,Nicaragua,,,,,,,,,,,,,,,,,,,,,5.37,,,5.21
nld,Netherlands,,,,,,,,,,,,,,,,,,,,,10.05,,,9.75
nor,Norway,,,,,,,,,,6.26,,,,,,,,,,,7.81,,,8.35
npl,Nepal,,,,,,,,,,,,,,,,,,,,,2.41,,,2.42
nru,Nauru,,,,,,,,,,,,,,,,,,,,,4.83,,,4.81
nzl,New Zealand,,,,,,,,,,,9.19,,,,,,,,,,9.62,,,9.99
omn,Oman,,,,,,,,,,,,,,,,,,,,,0.94,,,0.92
pak,Pakistan,,,,,,,,,,,,,,,,,,,,,0.06,,,0.05
pan,Panama,,,,,,,,,,,,,,,,,,,,,6.85,,,7.3
per,Peru,,,,,,,,,,,,,,,,,,,,,6.9,,,6.53
phl,Philippines,,,,,,,,,,,,,,,,,,,,,6.38,,,6.08
plw,Palau,,,,,,,,,,,,,,,,,,,,,10.1,,,9.86
png,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,3.49,,,3.64
pol,Poland,,,,,,,,,,,,,,,,,,,,,13.25,,,14.43
prk,North Korea,,,,,,,,,,,,,,,,,,,,,18.28,,,
prt,Portugal,,,,,,,,,,,,,,,,,,,,,14.55,,,13.89
pry,Paraguay,,,,,,,,,,,,,,,,,,,,,7.88,,,7.91
qat,Qatar,,,,,,,,,,,,,,,,,,,,,1.25,,,1.29
rou,Romania,,,,,,,,,,,,,,,,,,,,,15.3,,,16.15
rus,Russia,13.31,10.77,10.96,11.57,12.04,12.29,12.67,13.23,13.6,13.3,,,,,,,,,,,15.76,,,16.23
rwa,Rwanda,,,,,,,,,,,,,,,,,,,,,9.8,,,9.99
sau,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,0.25,,,0.34
sdn,Sudan,,,,,,,,,,,,,,,,,,,,,2.56,,,2.56
sen,Senegal,,,,,,,,,,,,,,,,,,,,,0.6,,,0.51
sgp,Singapore,,,,,,,,,,,,,,,,,,,,,1.55,,,1.54
slb,Solomon Islands,,,,,,,,,,,,,,,,,,,,,1.66,,,1.37
sle,Sierra Leone,,,,,,,,,,,,,,,,,,,,,9.72,,,9.48
slv,El Salvador,,,,,,,,,,,,,,,,,,,,,3.61,,,3.99
som,Somalia,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5
srb,Serbia,,,,,,,,,,,,,,,,,,,,,11.09,,,12.21
stp,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,8.74,,,8.45
sur,Suriname,,,,,,,,,,,,,,,,,,,,,6.09,,,6.56
svk,Slovak Republic,,,,,,,,,,,,,,,,,,,,,13.33,,,13.31
svn,Slovenia,,,,,,,,,24.19,,,,,,,,,,,,15.19,,,14.94
swe,Sweden,,,,,,,,,,,,8,,8.2,,8.4,9.1,9.9,10.2,10.5,10.1,9.8,9.8,9.5
swz,Eswatini,,,,,,,,,,,,,,,,,,,,,5.7,,,5.05
syc,Seychelles,,,,,,,,,,,,,,,,,,,,,10.59,,,12.11
syr,Syria,,,,,,,,,,,,,,,,,,,,,1.43,,,1.49
tcd,Chad,,,,,,,,,,,,,,,,,,,,,4.38,,,4.39
tgo,Togo,,,,,,,,,,,,,,,,,,,,,1.99,,,1.92
tha,Thailand,,,,,,,,,,,,,,,,,,,,,7.08,,,7.08
tjk,Tajikistan,,,,,,,,,,,,,,,,,,,,,3.39,,,3.39
tkm,Turkmenistan,,,,,,,,,,,,,,,,,,,,,4.63,,,5
tls,Timor-Leste,,,,,,,,,,,,,,,,,,,,,0.86,,,0.74
ton,Tonga,,,,,,,,,,,,,,,,,,,,,3.78,,,3.92
tto,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,6.28,,,6.16
tun,Tunisia,,,,,,,,,,,,,,,,,,,,,1.29,,,1.05
tur,Turkey,,,,,,,,,,,,,,,,,,,,,2.87,,,3.02
tuv,Tuvalu,,,,,,,,,,,,,,,,,,,,,2.44,,,2.14
tza,Tanzania,,,,,,,,,,,,,,,,,,,,,6.75,,,7.86
uga,Uganda,,,,,,,,,,,,,,,,,,,,,11.93,,,16.4
ukr,Ukraine,,,,,,,,,13,,,,,,,,,,,,15.6,,,17.47
ury,Uruguay,,,,,,,,,,,,,,,,,,,,,8.14,,,8.99
usa,USA,,,,,,,,,,,,,,,,,,,,,9.44,,,9.7
uzb,Uzbekistan,,,,,,,,,,,,,,,,,,,,,3.54,,,3.61
vct,St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,5.44,,,4.99
ven,Venezuela,,,,,,,,,,,,,,,,,,,,,8.23,,,7.6
vnm,Vietnam,,,,,,,,,,,,,,,,,,,,,3.77,,,3.91
vut,Vanuatu,,,,,,,,,,,,,,,,,,,,,0.93,,,0.96
wsm,Samoa,,,,,,,,,,,,,,,,,,,,,4.8,,,4.51
yem,Yemen,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2
zaf,South Africa,,,,,,,,,,,10,,,,,,,,,,9.46,,,10.16
zmb,Zambia,,,,,,,,,,,,,,,,,,,,,3.85,,,3.56
zwe,Zimbabwe,,,,,,,,,,,,,,,,,,,,,5.08,,,4.96
